ZipCode,Region,Division,StateFullName,State,StateANSI,CSA Name,CSA Code,MSA_Name,MSAANSI,County,CountyANSI
99323,West,Pacific,Washington,WA,53,,,,,WALLA WALLA,71
99324,West,Pacific,Washington,WA,53,,,,,WALLA WALLA,71
99326,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,FRANKLIN,21
99328,West,Pacific,Washington,WA,53,,,,,COLUMBIA,13
99329,West,Pacific,Washington,WA,53,,,,,WALLA WALLA,71
99330,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,FRANKLIN,21
99333,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99335,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,FRANKLIN,21
99336,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,BENTON,5
99337,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,BENTON,5
99338,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,BENTON,5
99341,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,ADAMS,1
99343,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,FRANKLIN,21
99344,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,ADAMS,1
99345,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,BENTON,5
99346,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,BENTON,5
99347,West,Pacific,Washington,WA,53,,,,,GARFIELD,23
99348,West,Pacific,Washington,WA,53,,,,,WALLA WALLA,71
99349,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,GRANT,25
99350,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,BENTON,5
99352,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,BENTON,5
99353,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,BENTON,5
99354,West,Pacific,Washington,WA,53,,,Richland-Kennewick-Pasco WA MSA,6740,BENTON,5
99356,West,Pacific,Washington,WA,53,,,,,KLICKITAT,39
99357,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,GRANT,25
99359,West,Pacific,Washington,WA,53,,,,,COLUMBIA,13
99360,West,Pacific,Washington,WA,53,,,,,WALLA WALLA,71
99361,West,Pacific,Washington,WA,53,,,,,WALLA WALLA,71
99362,West,Pacific,Washington,WA,53,,,,,WALLA WALLA,71
99363,West,Pacific,Washington,WA,53,,,,,WALLA WALLA,71
99371,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,ADAMS,1
99401,West,Pacific,Washington,WA,53,,,,,ASOTIN,3
99402,West,Pacific,Washington,WA,53,,,,,ASOTIN,3
99403,West,Pacific,Washington,WA,53,,,,,ASOTIN,3
99501,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99502,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99503,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99504,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99505,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99506,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99507,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99508,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99509,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99510,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99511,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99513,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
99514,West,Pacific,Alaska,AK,2,,,Anchorage AK MSA,380,ANCHORAGE,20
